OBJECTID,Shape_Length,Shape_Area,F_AREA,longitude,latitude
115,106054.830431159590000,702356077.817463160000000,702356077.817463040000000,-81.754802594362133,24.372485859966051
116,65657.271545997821000,189188852.801775310000000,189188852.801775010000000,-84.025578048438248,30.037391998087227
117,104075.049955089930000,674195953.444054720000000,674195953.444054960000000,-91.504802594650329,29.122485859955557
118,79522.646364172033000,337202796.800293210000000,337202796.800293030000000,-83.940925165576274,26.622532005034017
119,79444.515813798440000,337086077.596347150000000,337086077.596346970000000,-83.940519340124482,25.872532092695799
120,80543.380642266464000,353613312.190389990000000,353613312.190389990000000,-95.564570681402444,27.623469783903108
121,104406.998329081860000,678954125.735773210000000,678954125.735772970000000,-95.754802594643905,28.372485860356232
122,105761.162909900460000,698223988.863275050000000,698223988.863275050000000,-82.254802594544714,25.122485860011469
123,103735.555647466900000,669322446.404956460000000,669322446.404955980000000,-86.504802594520015,29.872485859909023
124,103962.729955414820000,672584232.275510310000000,672584232.275509950000000,-93.254802594586181,29.372485860088183
125,79553.871115554823000,340599801.866639850000000,340599801.866639970000000,-83.440420854483051,24.372710386049175
126,103962.729982309320000,672584232.597627640000000,672584232.597628000000000,-92.754802594588568,29.372485859818820
127,104406.998362556520000,678954126.142730590000000,678954126.142730950000000,-92.504802594499395,28.372485860182724
128,104624.166813355890000,682061831.302192930000000,682061831.302193050000000,-84.254802594824270,27.872485860131889
129,105561.531559841070000,695403270.176745060000000,695403270.176745060000000,-83.504802594474924,25.622485859844861
130,103962.729974379650000,672584232.432437420000000,672584232.432436940000000,-92.254802594535377,29.372485860069443
131,103735.555814114470000,669322448.594171760000000,669322448.594172000000000,-85.754802594389872,29.872485860119646
132,103993.009254852560000,674069687.502512220000000,674069687.502511980000000,-91.504802943549990,28.123668325627545
133,60999.287450549818000,118459941.344608100000000,118459941.344607990000000,-90.741694746396860,29.020472817747642
134,103376.607990016900000,665690273.363244770000000,665690273.363245010000000,-88.254825804592286,29.124061002235305
135,104186.531657502780000,675794860.741922140000000,675794860.741922020000000,-93.004802594709119,28.872485860254606
136,78222.798405919020000,323639142.950292530000000,323639142.950293000000000,-84.939753735128647,27.624223677884064
137,105561.531410134430000,695403268.119164710000000,695403268.119164940000000,-81.754802594555585,25.622485860206851
138,103181.796742636390000,662876313.435236690000000,662876313.435237050000000,-87.254791474546735,29.623989994979997
139,104406.998394291790000,678954126.722712760000000,678954126.722712990000000,-90.754802594717248,28.372485859944245
140,104943.812011368170000,686626280.437348130000000,686626280.437348010000000,-83.004802594548153,27.122485860009004
141,105152.887372780970000,689604236.942677020000000,689604236.942677020000000,-83.754802594613906,26.622485860074057
142,79067.004759783696000,336097544.398445430000000,336097544.398445010000000,-83.439766859040844,24.123261157282865
143,104406.998285817000000,678954125.261991740000000,678954125.261991980000000,-94.254802594337320,28.372485859834509
144,81025.869037973360000,358169704.961658060000000,358169704.961658000000000,-96.565017635957631,26.372464260704216
145,104075.050035557330000,674195954.524319290000000,674195954.524319050000000,-92.754802594572809,29.122485860193407
146,104186.531759190150000,675794862.024680850000000,675794862.024680970000000,-93.754802594518196,28.872485860011704
147,96729.319957936750000,324342927.499395730000000,324342927.499396030000000,-83.009108059608934,29.061115843625402
148,104075.049842643510000,674195952.001628640000000,674195952.001628990000000,-84.254802594716907,29.122485860064256
149,105048.749040597070000,688121775.039838190000000,688121775.039837960000000,-83.504802594776422,26.872485860051800
150,104297.179358471350000,677380923.617125870000000,677380923.617125990000000,-84.754802594559919,28.622485860015505
151,80505.902954813733000,352870914.650337930000000,352870914.650337990000000,-90.064359440466944,28.123785016695678
152,103392.411239060140000,665445093.962050560000000,665445093.962051030000000,-86.254779651355761,29.623515620044550
153,104186.531750476630000,675794861.851208690000000,675794861.851209040000000,-83.754802594901392,28.872485859886407
154,103822.122418145580000,671970792.617667080000000,671970792.617666960000000,-94.754814863889194,28.124054708231789
155,104075.049858661280000,674195952.155996080000000,674195952.155995970000000,-83.504802594843369,29.122485859928034
156,69834.381267641293000,194973016.220752660000000,194973016.220753010000000,-95.466704354695096,28.793606534128763
157,65372.884814564371000,123964140.437554460000000,123964140.437554000000000,-96.448127454983165,28.285403287787911
158,104943.812119066980000,686626281.819746020000000,686626281.819746020000000,-83.754802594498088,27.122485860028259
159,104714.385299830940000,679306029.649422410000000,679306029.649422050000000,-84.504416339825767,27.623283249203123
160,104406.998388145850000,678954126.523271560000000,678954126.523272040000000,-91.254802594569739,28.372485860104444
161,89014.853557520051000,435048959.516981960000000,435048959.516982020000000,-94.984431972176978,29.084592955654418
162,71947.201822231989000,224928751.598028510000000,224928751.598028990000000,-81.538790484042707,25.797057735873910
163,95094.515193520288000,529863216.922758100000000,529863216.922757980000000,-95.741999081412061,28.598348624484647
164,106054.830658866240000,702356080.821960810000000,702356080.821961050000000,-81.254802594776294,24.372485859956708
165,103735.555814606090000,669322448.653565880000000,669322448.653566000000000,-88.004802594776777,29.872485860123792
166,59713.995249340485000,133129694.670619040000000,133129694.670619000000000,-92.040980931779231,29.528834140606623
167,128444.131056840010000,686622292.654462580000000,686622292.654463050000000,-97.004802720416379,27.122486567821170
168,104406.998342130440000,678954126.047107340000000,678954126.047106980000000,-96.004802594743055,28.372485860222593
169,105152.887165767910000,689604234.250926970000000,689604234.250926970000000,-96.754802594775114,26.622485859903868
170,97230.734114243198000,625541776.348952290000000,625541776.348952050000000,-88.752242121219794,30.121516013549297
171,105256.230625601880000,691073637.506039620000000,691073637.506039980000000,-83.254802594543008,26.372485859936475
172,104075.050004195740000,674195954.028580190000000,674195954.028579950000000,-94.004802594758004,29.122485860036569
173,104406.998287765450000,678954125.214946750000000,678954125.214946990000000,-93.004802594790263,28.372485860068483
174,104515.992540033180000,680514434.948029990000000,680514434.948029990000000,-83.754802594494763,28.122485860154356
175,105133.569493651650000,667670644.151746990000000,667670644.151746990000000,-87.004802611244727,30.122486002158695
176,104186.531732743930000,675794861.728111740000000,675794861.728111980000000,-92.504802594643152,28.872485859882087
177,104406.998267864620000,678954125.032814980000000,678954125.032814980000000,-94.004802594339893,28.372485860044371
178,104943.812191284520000,686626282.857222440000000,686626282.857221960000000,-83.504802594700010,27.122485859861047
179,105761.162887741400000,698223988.610754250000000,698223988.610754010000000,-83.004802594754196,25.122485860073123
180,103988.428362986070000,674107822.076118950000000,674107822.076118950000000,-90.254802943398161,28.123678694183472
181,103809.264390777880000,672522315.013971920000000,672522315.013972040000000,-83.504812266714069,29.372476072648464
